"role.SchrodingerCat.name" : "天梦的猫豆"
"role.SchrodingerCat.short" : "猫豆"
"role.SchrodingerCat.blurb" : "小猫咪喜欢换主人"
"teams.SchrodingerCat": "猫豆"
"options.role.SchrodingerCat.detail" : "我只是人畜无害的小猫咪"
"role.geniuse.name" : "天才"
"role.geniuse.short" : "天"
"role.geniuse.blurb" : "甜菜诞生了"
"role.geniuse.exileText" : "你终究不是一名甜菜"
"options.role.geniuse.detail" : "我真特喵是个甜菜"
"options.role.geniuse.canBeAwareAssignment" : "知道自己是一颗甜菜"
"document.tip.winCond.geniuse.title" : "甜菜的胜利"
"document.tip.winCond.geniuse" : "甜菜的胜利总是孤独的"

